"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 08:58:36 GMT 2021","Tue Aug 24 08:58:40 GMT 2021","3105","Selenium-Tests","test_edit_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:58:22 GMT 2021","Tue Aug 24 08:58:22 GMT 2021","14","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_creation_new_post",""
"broken","Tue Aug 24 08:58:32 GMT 2021","Tue Aug 24 08:58:35 GMT 2021","3008","Selenium-Tests","test_delete_post","TestCreationPost","","","test_login",""
"passed","Tue Aug 24 08:58:41 GMT 2021","Tue Aug 24 08:58:44 GMT 2021","3023","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"passed","Tue Aug 24 08:58:12 GMT 2021","Tue Aug 24 08:58:16 GMT 2021","4257","Selenium-Tests","test_cookies","TestLogin","","","test_login",""
"broken","Tue Aug 24 08:58:17 GMT 2021","Tue Aug 24 08:58:20 GMT 2021","3163","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:58:22 GMT 2021","Tue Aug 24 08:58:22 GMT 2021","14","Selenium-Tests","test_create_edit_post","TestCreationPost","","","test_edit_post",""
"passed","Tue Aug 24 08:58:23 GMT 2021","Tue Aug 24 08:58:29 GMT 2021","6133","Selenium-Tests","test_creation_post","TestCreationPost","","","test_login",""
"broken","Tue Aug 24 08:58:44 GMT 2021","Tue Aug 24 08:58:44 GMT 2021","0","Selenium-Tests","test_login_improper","TestLoginImproper","","","test_improper_login",""
"passed","Tue Aug 24 08:58:57 GMT 2021","Tue Aug 24 08:59:01 GMT 2021","3510","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"passed","Tue Aug 24 08:58:53 GMT 2021","Tue Aug 24 08:58:56 GMT 2021","3582","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
"passed","Tue Aug 24 08:58:45 GMT 2021","Tue Aug 24 08:58:51 GMT 2021","6133","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"broken","Tue Aug 24 08:58:31 GMT 2021","Tue Aug 24 08:58:31 GMT 2021","14","Selenium-Tests","test_creation_post","TestCreationPost","","","test_creation_new_post",""
